entity,title,body
node,getInfo returns changes `getAvailableToMigrate` for the ones which already migrated,"Hi, 

we are using copybara as embedded one. 
our use case next: 
1. we are using [.getInfo](https://github.com/google/copybara/blob/master/java/com/google/copybara/InfoCmd.java#L159) for getting list of changes that available for migration
2. if there are some changes -> notify user about it
3. user triggering migration process
4. our service creating branch 
5. migrating code to this branch
6. opening PR 
7. merge with rebase if passing checks

problem that .getInfo provides list of changes available to migrate even when they already migrated.  we are using `lastRevision` as starting point, but no updating it after migration. 
I know that we are doing something wrong which not allowed to get info correctly. 

migration for this case throwing expected exception `Iterative workflow produced no changes in the destination for resolved ref: ` 

I know that it's not trivial use case of copybara, but I would really appreciate if you will advice something. 

Thanks!!! 

Cheers,
Pavel"
node,i need load image from url how i do this ?,"i done this but i cannot get photo 
......
Card card = new Card.Builder(this)
                    .withProvider(new CardProvider())
                    .setLayout(R.layout.material_basic_image_buttons_card_layout)
                    .setTitle(rssItems.get(i).getTitle())
                    .setTitleGravity(Gravity.END)
                    .setDescription(rssItems.get(i).getDescription())
                    .setDescriptionGravity(Gravity.END)
                    .setDrawable(""https://assets-cdn.github.com/images/modules/logos_page/GitHub-Mark.png"")

```
                .setDrawableConfiguration(new CardProvider.OnImageConfigListener() {
                    @Override
                    public void onImageConfigure(@NonNull RequestCreator requestCreator) {
                        requestCreator.fit();
                    }
                })
```

........
"
node,Cards inside GridView,Is it possible to have Cards within GridView?

node,Use 'git add -f' to avoid failures with .gitignore rules.,"If the repo being imported includes `.gitignore` rules that exclude its own files, then Copybara fails to import to a Git destination with an error like:

``` shell
Copybara source mover
Task: Git Destination: Creating a local commit
ERROR: com.google.copybara.RepoException: Error executing 'git': Process exited with status 1. Stderr: 
The following paths are ignored by one of your .gitignore files:
FILE_THAT_IS_IGNORED
Use -f if you really want to add them.
```

`bazel test ...:all` passes successfully.
"
node,Add pull request template,A lot of historic pull requests have been blank. Let's fix that by requiring a short summary (and reminding contributors that they have to sign the CLA).
node,Reset phone now what,"Hello, so I have 2 factor set up on about 4 websites where I have money stored and now I cannot access them. I had to reset my phone due to issues and didn't even know there had to be a backup done for the sites on google authenticator app. What can I do at this point?

Thanks."
node,add setGravity function for use in RTL languages.,"add three function for title, subtitle and description to set Gravity.
when use setTitleGravity(Gravity.END) the title move to right side.
"
node,Include labels in GitHub PR body,"Is there a way to add the labels of a change to the body of the PullRequest created by `git.github_pr_destination`?

If there isn't, I'd be happy to contribute a patch implementing this if that's something you'd want to support."
node,Extend raw Subject instead of supplying type parameters.,"The type parameters are being removed from Subject.

This CL will temporarily produce rawtypes warnings, which will go away when I remove the type parameters (as soon as this batch of CLs is submitted)."
node,Provide a way to easily migrate from maven_jar to rules_jvm_external,"Test project(s): Copybara. https://github.com/google/copybara

Get list of all `maven_jar` targets: `bazel query 'kind(maven_jar, //external:all)'`
Get list of artifacts: `bazel query 'kind(maven_jar, //external:all)' --output=build | grep artifact | awk '{print $3}' | sort`"
node,Help request - decode otpauth-migration://offline?data= uri,Hi. I want to extract my original code to use it in third party apps. But offline migration url contains some strange info that I don't know how to extract. Can anyone help extract data in such url payload?
node,How to detect that user scrolles to end of list?,"Hi, read here about scrolls. My question is: how to detect, that user scrolled list to last item?
"
node,Add missing androidTestCompile libraries,"Since conversion to Android Studio 1.1.0, the test-builds did not work, since required libraries were missing from the `androidTestCompile` dependencies.

This pull request adds the required libraries, the tests run on my device and in an emulator. Some fail, though, but these seem to be related to some changes since Android 4.3, I think.
"
node,Always set locale to english when running git,Copybara runs may fail if users use a different locale than english
because we try to parse git's language dependent output.
This change fixes this bug by forcing git's output language always to be english.
node,Use bazel docker image for Docker build,"Instead of using the jdk image and then installing bazel, it probably makes sense to use the bazel provided image directly."
node,OnItemClickListeners implementation,"Hi dexafree i'm using your nice library and i am missing the onitemclick listener.
Is there a way to implement it ou it is plan for the next release ?

looking forward to hearing from you.

regards,
"
node,how to import it in eclipse?,"I have created a new library project for materialLib
1) copied all files in that project
2) added cardview, recyclerview library to that
3) added its jar to import/export
4) added the jars: otto, nineoldandroids, listviewanimation_lib to bulld path and in import/export check
5) clean and build

But when i am importing and running it in my project it shows
error inflating class android.support.v7.widget.cardview
and same for recyclerview

anybody please tell me how to solve this issue?
"
node,Recovering Two-factor Secrets After OS Upgrade,Around two years ago I installed an OS upgrade on my Android phone that caused my two-factor secrets to get lost (and subsequently lost access to a bitcoin wallet with ~75K in it). I was wondering if Google Authenticator backs up secrets to the cloud by any chance? Or does an OS upgrade permanently wipe those secrets?
node,Integration tests fail if copybara is imported,"`//copybara/integration:reference_doc_test` and `//copybara/integration:tool_test` fail due to wrong path if copybara is imported into other repo.
```
bazel test @copybara//...
[...]
@copybara//javatests/com/google/copybara/transform:metadata/RevisionMigratorTest PASSED in 0,0s
@copybara//javatests/com/google/copybara/util/console:ConsoleTest        PASSED in 0,0s
@copybara//javatests/com/google/copybara/util/console:ConsolesTest       PASSED in 0,0s
@copybara//javatests/com/google/copybara/util/console/testing:TestingConsoleTest PASSED in 0,0s
@copybara//copybara/integration:reference_doc_test                       FAILED in 0,9s
  /.../testlogs/external/copybara/copybara/integration/reference_doc_test/test.log
@copybara//javatests/com/google/copybara/git:GitDestinationTest          PASSED in 0,0s
  Stats over 5 runs: max = 0,0s, min = 0,0s, avg = 0,0s, dev = 0,0s
@copybara//copybara/integration:tool_test                                FAILED in 30 out of 30 in 0,6s
  Stats over 30 runs: max = 0,6s, min = 0,3s, avg = 0,3s, dev = 0,1s
  /.../testlogs/external/copybara/copybara/integration/tool_test/shard_29_of_30/test.log
[...]
  /.../testlogs/external/copybara/copybara/integration/tool_test/shard_14_of_30/test.log

Executed 68 out of 70 tests: 68 tests pass and 2 fail locally.
```

```
exec ${PAGER:-/usr/bin/less} ""$0"" || exit 1
-----------------------------------------------------------------------------
/.../external/copybara/copybara/integration/reference_doc_test.runfiles/XXX/external/copybara/copybara/integration/reference_doc_test: line 17: third_party/bazel/bashunit/unittest.bash: No such file or directory
/.../external/copybara/copybara/integration/reference_doc_test.runfiles/XXX/external/copybara/copybara/integration/reference_doc_test: line 37: run_suite: command not found
```"
node,Switch from sha1 to sha256 in WORKSPACE.,"Hi,

I'm getting some log lines from bazel saying to switch from sha1 to sha256 in the WORKSPACE file:

```
INFO: SHA256 (https://github.com/bazelbuild/rules_cc/archive/ea5c5422a6b9e79e6432de3b2b29bbd84eb41081.zip) = faa25a149f46077e7eca2637744f494e53a29fe3814bfe240a2ce37115f6e04d
DEBUG: Rule 'rules_cc' indicated that a canonical reproducible form can be obtained by modifying arguments sha256 = ""faa25a149f46077e7eca2637744f494e53a29fe3814bfe240a2ce37115f6e04d""
DEBUG: Call stack for the definition of repository 'rules_cc' which is a http_archive (rule definition at /home/dseomn/.cache/bazel/_bazel_dseomn/72478d6acfe6c09d44b6b243c198de7d/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - /home/dseomn/Code/copybara/WORKSPACE:222:1
WARNING: /home/dseomn/Code/copybara/WORKSPACE:21:1: maven_jar rule @guava//jar: Not using a checksum to verify the integrity of the artifact or the usage of SHA-1 (see https://shattered.io) is not secure, and can result in a non-reproducible build. Please specify the SHA-256 checksum with: sha256 = ""4a5aa70cc968a4d137e599ad37553e5cfeed2265e8c193476d7119036c536fe7"",
WARNING: /home/dseomn/Code/copybara/WORKSPACE:21:1: maven_jar rule @guava//jar: Not using a checksum to verify the integrity of the artifact or the usage of SHA-1 (see https://shattered.io) is not secure, and can result in a non-reproducible build. Please specify the SHA-256 checksum with: sha256_src = ""9de05c573971cedfcd53fb85fc7a58a5f453053026a9bf18594cffc79a1d6874"",
INFO: SHA256 (https://github.com/bazelbuild/rules_proto/archive/9cd4f8f1ede19d81c6d48910429fe96776e567b1.zip) = 7d05492099a4359a6006d1b89284d34b76390c3b67d08e30840299b045838e2d
DEBUG: Rule 'rules_proto' indicated that a canonical reproducible form can be obtained by modifying arguments sha256 = ""7d05492099a4359a6006d1b89284d34b76390c3b67d08e30840299b045838e2d""
DEBUG: Call stack for the definition of repository 'rules_proto' which is a http_archive (rule definition at /home/dseomn/.cache/bazel/_bazel_dseomn/72478d6acfe6c09d44b6b243c198de7d/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - /home/dseomn/Code/copybara/WORKSPACE:229:1
INFO: SHA256 (https://github.com/bazelbuild/bazel/archive/4b0e301448227383fe76a8c1b0c03bfe2cbb2ec1.zip) = 29937386cd9c34382c99008d20797130d536d54f8dd95f323a5519cbd8d51006
DEBUG: Rule 'io_bazel' indicated that a canonical reproducible form can be obtained by modifying arguments sha256 = ""29937386cd9c34382c99008d20797130d536d54f8dd95f323a5519cbd8d51006""
DEBUG: Call stack for the definition of repository 'io_bazel' which is a http_archive (rule definition at /home/dseomn/.cache/bazel/_bazel_dseomn/72478d6acfe6c09d44b6b243c198de7d/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - /home/dseomn/Code/copybara/WORKSPACE:186:1
INFO: SHA256 (https://github.com/bazelbuild/rules_python/archive/9d68f24659e8ce8b736590ba1e4418af06ec2552.zip) = f7402f11691d657161f871e11968a984e5b48b023321935f5a55d7e56cf4758a
DEBUG: Rule 'rules_python' indicated that a canonical reproducible form can be obtained by modifying arguments sha256 = ""f7402f11691d657161f871e11968a984e5b48b023321935f5a55d7e56cf4758a""
DEBUG: Call stack for the definition of repository 'rules_python' which is a http_archive (rule definition at /home/dseomn/.cache/bazel/_bazel_dseomn/72478d6acfe6c09d44b6b243c198de7d/external/bazel_tools/tools/build_defs/repo/http.bzl:292:16):
 - /home/dseomn/Code/copybara/WORKSPACE:215:1
```"
node,Add Google music dices and Nexus One cross rotation progress drawables.,Hi!

This PR adds a dices 'I'm feeling lucky' of the Google Play Music app and the Nexus One cross rotation progress drawables.

node,Better support for updating dependencies,Currently Copybara allows to move code from one repo to another. It can be used with some hacks to update a repo based on changes from another repo (see #84 for details). We should improve this and make it less hacky. Some ideas:

   - Multiple sources origin

  - Don't require origin/destination files and/or don't require a checkout.

  - Custom RevId that contains the dependency.
node,Feature Request: ability to re-order accounts,Original [issue 190](https://code.google.com/p/google-authenticator/issues/detail?id=190) created by stewartl42 on 2012-07-09T20:58:16.000Z:

<b>What steps will reproduce the problem?</b>
1. Open the App
2. accounts are listed in the order they were added and cannot be re-ordered

<b>What is the expected output? What do you see instead?</b>
The method used to re-order the accounts is not important. 

<b>What version of the product are you using? On what operating system?</b>
2.21 - Samsung Vibrant

<b>Please provide any additional information below.</b>

node,Hash being overwritten if identificators have the same name,"While scanning a QR code to help my friend setup an account for a service we both use, the authenticator simply overwrote my previous hash and put his in it's place, instead of either creating another entry or simply giving me a prompt asking me if I confirm the operation.

As a side note, now I can't recover my acess to said service anymore, since I don't possess the unlock code  and seemingly there's no google account linked to that hash. I can't believe such a thing really wasn't thought about, it's a basic security flaw.
"
node,Document building copybara uberjar (copybara_deploy.jar),"Most users will probably want to build not with the command in the README.md, but instead use

    bazel build //java/com/google/copybara:copybara_deploy.jar

This produces an uberjar at

    [,,,]
    Target //java/com/google/copybara:copybara_deploy.jar up-to-date:
      bazel-bin/java/com/google/copybara/copybara_deploy.jar
    [....]

I believe this is the typical way how one would want to build copybara. Figuring this out may be needlessly difficult for people unfamiliar with the build system."
node,[Feature Request] Want archived file as source,Sometimes libraries are provided within an archived file. I'd like to copy the content into our repository and maintain the relationship with the help of copybara.
node,Can't add more than 1 card,"Hi,

I have implemented custom cards with custom providers. But, the UI is not showing more than 1 card either with same card object being added twice or different card with different provider
"
node,Feature: Add Cards to MaterialListViewAdapter,It seems to me that there's currently no way to add more cards to the CardList once we've set up a `MaterialListViewAdapter` with our initial list of Cards.

I'd like to introduce new cards when the user interacts with my existing set of cards (e.g. clicks on one of the buttons or dismisses a card with the swipe gesture).

node,No way to get a card by other than index,"The adapter has a method to remove a card by passing the card to it, but there is no way to get a reference to a card by passing a card to it. So I can remove a card by calling 

`mListView.getMaterialListViewAdapter().remove(card)`

but not get a reference to it, by calling

`mListView.getMaterialListViewAdapter().get(card)` or
`mListView.getMaterialListViewAdapter().getItem(card)`

I want to modify a card's description from another function, after the card has been added to the listview
"
node,Single tap to copy,"Authenticator should copy codes to the clipboard on a single tap. For me, copying codes is one of the most frequent operations I perform in Google authenticator. Switching to a single-tap copy workflow would shave off a few seconds in copying codes which would help me not run out of time to use them. Red Hat's [FreeOTP](https://play.google.com/store/apps/details?id=org.fedorahosted.freeotp) application has this functionality already.
# Current Workflow
1. Open Authenticator.
2. Find appropriate identity.
3. Long-press code.
4. Tap copy icon.
5. Code is in clipboard.
# Proposed Workflow
1. Open Authenticator.
2. Find appropriate identity.
3. Tap code.
4. Code is in clipboard.
"
node,null instead context in fragments,some time in `fragment` throws exception when i use : 

``` java

//So i use it like this 
getActivity().findViewById(R.id.google_progress).setVisibility(View.INVISIBLE);

```

and i know `getActivity` some time return **null** instead _context_ but still is problem ! you have any suggest can cover this ?

``` java
/**
     * Return the {@link FragmentActivity} this fragment is currently associated with.
     * May return {@code null} if the fragment is associated with a {@link Context}
     * instead.
     */
    final public FragmentActivity getActivity() {
        return mHost == null ? null : (FragmentActivity) mHost.getActivity();
    }

```

node,create Progressbar programmatically,"as per your code, you are using progressbar from xml. but how can we create progressbar programmatically with Foldingdrawable.? i tried simple but didnt showing progressbar.
"
node,how to go back to top of list?,"After adding new card, it always go to bottom, but I want it go back to top of list.
"
node,Settings to change the code grouping from 2x 3digit to 3x 2digit,Maybe its just me but whenever I open the app and read a code I read it in my head like `65 45 23` and not like `654 523`. It would be nice if I could switch the digit grouping.
node,should copybara info (or a related sibling) use the same semantics migrate does?,"Currently one can think there are pending changes when migrate will fail (for example when you have empty commits).
@mikelalcon referenced this in #3 when he wrote: ""Ideally we should honor origin_files. At least the glob roots. Would be great if we could honor the excludes too.
Probably this involves an option to origin.changes() to return the list of files in a change too.""
Maybe what we need is ""expensive info"" since it will cost more or ""migrate --dry-run"" to reflect the pending commits"
node,BigImageCardProvider.java,""
node,Update project dependencies,"Latest build dependencies, a few whitespace fixes, and one Lint error fix.

<sub><sup>Please NO GitHub rebase/squash merges. If you'd like me to combine some or all of the commits, please let me know, and I will update my branch. Thank you.</sup></sub>
"
node,Workflow best practices for migration of GitHub code into internal repo,"This looks like a great tool, and would be of use to us on some upcoming projects. Thanks for open sourcing it!

One question I have (I can't seem to find a better forum for Q's) is around best practices for integrating changes from GitHub with an internal authoritative repo.

This is mentioned in the README:

> Importing a change from a non-authoritative repository into the authoritative repository. When a change is made in the non-authoritative repository (for example, a contributor in the public repository), Copybara transforms and moves that change into the appropriate place in the authoritative repository. Any merge conflicts are dealt with in the same way as an out-of-date change within the authoritative repository.

Concretely, say someone opens a PR on your GitHub repo. What does the process look like for integrating that change into the internal repo? Is the change first merged into the GitHub repo then migrated to the internal repo? Or is there some way to do some kind of initial vetting to know that the change is compatible with the internal repo before merging the change in GitHub, then moving? I've often wondered how this is done on some of the PRs I've submitted to Google GitHub projects.

Happy to offer up some documentation in a PR once I grok this concept.

Thanks again for open sourcing the tool!"
node,test PR,Change-Id: If65ff833c503426bd0a001e27becc25b24b2dd52
node,Divider between content and actions,I've read the Material Design documentation and noticed that Google uses a slight divider between the content of a card and the supplemental actions. Here are some [examples from the guidelines](http://www.google.com/design/spec/components/cards.html#cards-content).

node,Failed to resolve: com.github.dexafree:materiallist:23.2.2,Title says it all.
What shall i do?
    compile 'com.github.dexafree:materiallist:3.2.2'

