entity,title,body,class,full_body
node,Getting null pointer exception while showing progressbar,I am using this library in viewpager i am getting this crash,1,library getting null pointer exception showing
node,Do not assume github.com in git repository url validation,We'd like to use Copybara with our internally hosted GHE.  ,1,like use internally assume git repository validation
node,App crash when scanning malformed qr code,The app is crashing when an incorrect qr code is scanned.,1,incorrect code crash scanning malformed code
node,Scan a barcode button crashes other app,"When I click on scan a barcode, my app crashes.
We are using zbar library to scan qr code ourselves and we also use zxing core jar.
Can you point to where should I be looking at 
The log that I see is here
<code>FATAL EXCEPTION: main
                                                                    Process: zebpay.Application, PID: 24127
                                                                    java.lang.NoClassDefFoundError: Failed resolution of: Lcom/google/zxing/client/android/R$layout;
                                                                        at com.google.zxing.client.android.CaptureActivity.onCreate(CaptureActivity.java:159)
                                                                        at android.app.Activity.performCreate(Activity.java:5995)
                                                                        at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1106)
                                                                        at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2312)
                                                                        at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2421)
                                                                        at android.app.ActivityThread.access$900(ActivityThread.java:153)
                                                                        at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1324)
                                                                        at android.os.Handler.dispatchMessage(Handler.java:102)
                                                                        at android.os.Looper.loop(Looper.java:135)
                                                                        at android.app.ActivityThread.main(ActivityThread.java:5347)
                                                                        at java.lang.reflect.Method.invoke(Native Method)
                                                                        at java.lang.reflect.Method.invoke(Method.java:372)
                                                                        at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:904)
                                                                        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:699)
                                                                     Caused by: java.lang.ClassNotFoundException: Didn't find class ""com.google.zxing.client.android.R$layout"" on path: DexPathList[[zip file ""/data/app/zebpay.Application-1/base.apk""],nativeLibraryDirectories=[/data/app/zebpay.Application-1/lib/arm, /vendor/lib, /system/lib]]
                                                                        at dalvik.system.BaseDexClassLoader.findClass(BaseDexClassLoader.java:56)
                                                                        at java.lang.ClassLoader.loadClass(ClassLoader.java:511)
                                                                        at java.lang.ClassLoader.loadClass(ClassLoader.java:469)
                                                                        at com.google.zxing.client.android.CaptureActivity.onCreate(CaptureActivity.java:159) 
                                                                        at android.app.Activity.performCreate(Activity.java:5995) 
                                                                        at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1106) 
                                                                        at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2312) 
                                                                        at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2421) 
                                                                        at android.app.ActivityThread.access$900(ActivityThread.java:153) 
                                                                        at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1324) 
                                                                        at android.os.Handler.dispatchMessage(Handler.java:102) 
                                                                        at android.os.Looper.loop(Looper.java:135) 
                                                                        at android.app.ActivityThread.main(ActivityThread.java:5347) 
                                                                        at java.lang.reflect.Method.invoke(Native Method) 
                                                                        at java.lang.reflect.Method.invoke(Method.java:372) 
                                                                        at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:904) 
                                                                        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:699) 
                                                                        Suppressed: java.lang.ClassNotFoundException: com.google.zxing.client.android.R$layout
                                                                        at java.lang.Class.classForName(Native Method)
                                                                        at java.lang.BootClassLoader.findClass(ClassLoader.java:781)
                                                                        at java.lang.BootClassLoader.loadClass(ClassLoader.java:841)
                                                                        at java.lang.ClassLoader.loadClass(ClassLoader.java:504)
                                                                                ... 15 more
                                                                     Caused by: java.lang.NoClassDefFoundError: Class not found using the boot class loader; no stack available
</code>

I understand that this class is not found,but fail to understand why it is calling my app.

Thanks, Any help will be appreciated
",1,click scan library scan code also use core jar point looking log see code fatal exception main process application resolution client android layout client android android activity activity android instrumentation instrumentation android android android access android android os handler handler android os looper loop looper android main reflect method invoke native method reflect method invoke method android internal os run android internal os main find class client android layout path zip file data application base data application arm vendor system system client android android activity activity android instrumentation instrumentation android android android access android android os handler handler android os looper loop looper android main reflect method invoke native method reflect method invoke method android internal os run android internal os main suppressed client android layout class native method class found boot class loader stack available code understand class found fail understand calling thanks help scan button
node,xml issues,"When i import this into Eclipse, the project is broken with an xml issue on the material_basic_buttons.xml which says that the cardCornerRadius attribute does not exist?
",1,import eclipse project broken issue material basic buttons attribute exist
node,No Card swipe Exception,"If there is no Card added yet, then an Exception is thrown from the SwipeDismissListener:

``` java
    java.lang.IndexOutOfBoundsException: Invalid index 0, size is 0
            at java.util.ArrayList.throwIndexOutOfBoundsException(ArrayList.java:255)
            at java.util.ArrayList.get(ArrayList.java:308)
            at android.widget.ArrayAdapter.getItem(ArrayAdapter.java:337)
            at com.dexafree.materialList.controller.SwipeDismissListener.onTouch(SwipeDismissListener.java:226)
            at android.view.View.dispatchTouchEvent(View.java:8382)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2424)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2158)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at android.view.ViewGroup.dispatchTransformedTouchEvent(ViewGroup.java:2430)
            at android.view.ViewGroup.dispatchTouchEvent(ViewGroup.java:2172)
            at com.android.internal.policy.impl.PhoneWindow$DecorView.superDispatchTouchEvent(PhoneWindow.java:2314)
            at com.android.internal.policy.impl.PhoneWindow.superDispatchTouchEvent(PhoneWindow.java:1692)
            at android.app.Activity.dispatchTouchEvent(Activity.java:2739)
            at com.android.internal.policy.impl.PhoneWindow$DecorView.dispatchTouchEvent(PhoneWindow.java:2275)
            at android.view.View.dispatchPointerEvent(View.java:8578)
            at android.view.ViewRootImpl$ViewPostImeInputStage.processPointerEvent(ViewRootImpl.java:4021)
            at android.view.ViewRootImpl$ViewPostImeInputStage.onProcess(ViewRootImpl.java:3887)
            at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3449)
            at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3502)
            at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3468)
            at android.view.ViewRootImpl$AsyncInputStage.forward(ViewRootImpl.java:3578)
            at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3476)
            at android.view.ViewRootImpl$AsyncInputStage.apply(ViewRootImpl.java:3635)
            at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3449)
            at android.view.ViewRootImpl$InputStage.onDeliverToNext(ViewRootImpl.java:3502)
            at android.view.ViewRootImpl$InputStage.forward(ViewRootImpl.java:3468)
            at android.view.ViewRootImpl$InputStage.apply(ViewRootImpl.java:3476)
            at android.view.ViewRootImpl$InputStage.deliver(ViewRootImpl.java:3449)
            at android.view.ViewRootImpl.deliverInputEvent(ViewRootImpl.java:5701)
            at android.view.ViewRootImpl.doProcessInputEvents(ViewRootImpl.java:5675)
            at android.view.ViewRootImpl.enqueueInputEvent(ViewRootImpl.java:5646)
            at android.view.ViewRootImpl$WindowInputEventReceiver.onInputEvent(ViewRootImpl.java:5791)
            at android.view.InputEventReceiver.dispatchInputEvent(InputEventReceiver.java:185)
            at android.view.InputEventReceiver.nativeConsumeBatchedInputEvents(Native Method)
            at android.view.InputEventReceiver.consumeBatchedInputEvents(InputEventReceiver.java
```
",1,card added yet exception thrown invalid index size get android controller android view view view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android view android internal policy android internal policy android activity activity android internal policy android view view view android view android view android view deliver android view android view forward android view forward android view apply android view apply android view deliver android view android view forward android view apply android view deliver android view android view android view android view android view android view native method android view card swipe exception
node,Card's setBitmap(int resourceId) not working,"I've seen your library on Reddit and decided to give it a try.

I used the `BigImageButtonsCard` and noticed that there's no image displayed. Code snippet:

``` java
BigImageButtonsCard card = new BigImageButtonsCard();
card.setBitmap(R.drawable.test);
```

Using the following code instead worked pretty nicely:

``` java
Bitmap b = BitmapFactory.decodeResource(getResources(), R.drawable.test);
card.setBitmap(b);
```

I identified the problem in the [Card.java](https://github.com/dexafree/MaterialList/blob/master/materialList/src/main/java/com/dexafree/materialList/model/Card.java#L70) class. `Resources.getSystem()` only provides access to system resources. We need a handle on the application's context to fetch application resources. See [Resources (Android Documentation)](http://developer.android.com/reference/android/content/res/Resources.html#getSystem%28%29).

Best regards,
Olli
",1,seen library decided give try used image displayed code snippet card new card drawable test following code instead worked pretty nicely drawable test card problem card blob master main model card class access system need handle application context fetch application see android documentation developer android reference android content best card working
node,Key not recognized,"The following key does not get accepted (""Key not recognized""). However it works well on Authy and I can't find how it breaks the specs.

![https://chart.googleapis.com/chart?chs=300x300&cht=qr&chl=otpauth%3A%2F%2Ftotp%2FACME%253Aexample%2540mysite.com%3Fsecret%3D6hwk0m9n71d4mw3e8wu3cnv66hd6jnat%26issuer%3DACME](https://chart.googleapis.com/chart?chs=300x300&cht=qr&chl=otpauth%3A%2F%2Ftotp%2FACME%253Aexample%2540mysite.com%3Fsecret%3D6hwk0m9n71d4mw3e8wu3cnv66hd6jnat%26issuer%3DACME)

URI: `otpauth://totp/ACME%3Aexample%40mysite.com?secret=6hwk0m9n71d4mw3e8wu3cnv66hd6jnat&issuer=ACME`

Secret: `4y0Q58ZJpnG46Wf4ZiUY`

Secret (base32): `6hwk0m9n71d4mw3e8wu3cnv66hd6jnat` (using [base32](https://www.npmjs.com/package/base32))",1,following key get accepted key however works well find specs chart chart issuer chart chart issuer acme secret issuer acme secret secret base base package base key
node,codes not accepted,"I'm using an android8 phone with GA to log into bitfinex.com. Since my OnePlus3t crashed it resetted to factory, after reinstalling GA my codes aren't accepted on the website anymore. Result I'm financially kept hostage, I can't access my savings. Bitfinex is gone dark and has no support. 

Now nothing changed related to timezones or something like that. 

Is GA related to an emailaddresse?",1,android phone ga log since factory ga accepted result financially kept hostage access gone dark support nothing related something like ga related accepted
node,InsecureRecursiveDeleteException: Issue when running on OS X,"Hi there,

Trying to set this up on OS X 10.12.3 and anytime I run copybara, I get something akin to the following:

```
581 jeffryhesse:reports (master *)$ copybara copy.bara.sky 
Copybara source mover (Version: Unknown version)
Task: Cleaning working directory
ERROR: /Users/jeffryhesse/copybara/out/workdir101393186198424635: unable to guarantee security of recursive delete (com.google.common.io.InsecureRecursiveDeleteException: /Users/jeffryhesse/copybara/out/workdir101393186198424635: unable to guarantee security of recursive delete)
```

I'm a bit murky on how to resolve this issue. From my detective work (AKA using Google) all I've found is that exception is thrown when SecureDirectoryStream is not supported by the OS. I'm having trouble finding a list of supported OS for this purpose, and I'm also curious why it's not working on OS X, since Oracle does support Java in this context. This may be more of a Guava issue from what I can tell, but the use here seems to impede use of Copybara on OS X.

As well, in running bazel tests, these are the failures I get:

```
BazelTestRunner exiting with a return value of 1
JVM shutdown hooks (if any) will run now.
The JVM will exit once they complete.

-- JVM shutdown starting at 2017-07-06 16:32:59 --

FAIL: //javatests/com/google/copybara/git:SubmodulesInDestinationTest (see /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/git/SubmodulesInDestinationTest/test.log).
INFO: Elapsed time: 30.382s, Critical Path: 20.58s
//copybara/integration:reference_doc_test                       (cached) PASSED in 0.2s
//javatests/com/google/copybara:CommandTest                     (cached) PASSED in 0.4s
//javatests/com/google/copybara:CoreReverseTest                 (cached) PASSED in 0.6s
//javatests/com/google/copybara:CoreTransformTest               (cached) PASSED in 0.6s
//javatests/com/google/copybara:ExamplesTest                    (cached) PASSED in 0.7s
//javatests/com/google/copybara:LabelFinderTest                 (cached) PASSED in 0.3s
//javatests/com/google/copybara:MainArgumentsTest               (cached) PASSED in 0.4s
//javatests/com/google/copybara:MainTest                        (cached) PASSED in 0.6s
//javatests/com/google/copybara:authoring/AuthorParserTest      (cached) PASSED in 0.3s
//javatests/com/google/copybara:authoring/AuthorTest            (cached) PASSED in 0.4s
//javatests/com/google/copybara:authoring/AuthoringTest         (cached) PASSED in 0.6s
//javatests/com/google/copybara/config:CapturingConfigFileTest  (cached) PASSED in 0.3s
//javatests/com/google/copybara/config:MapConfigFileTest        (cached) PASSED in 0.3s
//javatests/com/google/copybara/config:PathBasedConfigFileTest  (cached) PASSED in 0.4s
//javatests/com/google/copybara/config:SkylarkParserTest        (cached) PASSED in 0.7s
//javatests/com/google/copybara/config/base:SkylarkUtilTest     (cached) PASSED in 0.3s
//javatests/com/google/copybara:folder/FolderDestinationTest    (cached) PASSED in 0.7s
//javatests/com/google/copybara:folder/FolderOriginTest         (cached) PASSED in 0.7s
//javatests/com/google/copybara/git:GerritChangeFinderTest      (cached) PASSED in 0.3s
//javatests/com/google/copybara/git:GerritOptionsTest           (cached) PASSED in 0.3s
//javatests/com/google/copybara/git:GerritOriginTest            (cached) PASSED in 2.2s
//javatests/com/google/copybara/git:GitOriginSubmodulesTest     (cached) PASSED in 2.5s
//javatests/com/google/copybara/git:GitOriginTest               (cached) PASSED in 6.3s
//javatests/com/google/copybara/git:GitRepoTypeTest             (cached) PASSED in 1.3s
//javatests/com/google/copybara/git:RefspecTest                 (cached) PASSED in 0.5s
//javatests/com/google/copybara:modules/PatchTransformationTest (cached) PASSED in 0.6s
//javatests/com/google/copybara/profiler:ProfilerTest           (cached) PASSED in 0.4s
//javatests/com/google/copybara:testing/DummyOriginTest         (cached) PASSED in 0.5s
//javatests/com/google/copybara:testing/SkylarkTestExecutorTest (cached) PASSED in 0.6s
//javatests/com/google/copybara/transform:ExplicitReversalTest  (cached) PASSED in 0.4s
//javatests/com/google/copybara/transform:MoveTest              (cached) PASSED in 0.7s
//javatests/com/google/copybara/transform:ReplaceTest           (cached) PASSED in 0.7s
//javatests/com/google/copybara/transform:SequenceTest          (cached) PASSED in 0.5s
//javatests/com/google/copybara/transform:VerifyMatchTest       (cached) PASSED in 0.7s
//javatests/com/google/copybara/transform:metadata/RevisionMigratorTest (cached) PASSED in 0.8s
//javatests/com/google/copybara:treestate/TreeStateTest         (cached) PASSED in 0.5s
//javatests/com/google/copybara:util/DiffUtilTest               (cached) PASSED in 0.4s
//javatests/com/google/copybara:util/FileUtilTest               (cached) PASSED in 0.5s
//javatests/com/google/copybara:util/GlobTest                   (cached) PASSED in 0.7s
//javatests/com/google/copybara:util/RenameDetectorTest         (cached) PASSED in 0.4s
//javatests/com/google/copybara/util/console:ConsoleTest        (cached) PASSED in 0.4s
//javatests/com/google/copybara/util/console:ConsolesTest       (cached) PASSED in 0.4s
//javatests/com/google/copybara/util/console/testing:TestingConsoleTest (cached) PASSED in 0.4s
//copybara/integration:tool_test                                         FAILED in 20.5s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/copybara/integration/tool_test/test.log
//javatests/com/google/copybara:TransformWorkTest                        FAILED in 0.8s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/TransformWorkTest/test.log
//javatests/com/google/copybara:WorkflowTest                             FAILED in 1.4s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/WorkflowTest/test.log
//javatests/com/google/copybara/git:GerritDestinationTest                FAILED in 1.0s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/git/GerritDestinationTest/test.log
//javatests/com/google/copybara/git:GitDestinationTest                   FAILED in 1.9s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/git/GitDestinationTest/test.log
//javatests/com/google/copybara/git:GitMirrorTest                        FAILED in 0.9s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/git/GitMirrorTest/test.log
//javatests/com/google/copybara/git:GitRepositoryTest                    FAILED in 0.5s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/git/GitRepositoryTest/test.log
//javatests/com/google/copybara/git:SubmodulesInDestinationTest          FAILED in 0.8s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/git/SubmodulesInDestinationTest/test.log
//javatests/com/google/copybara/transform:metadata/MetadataModuleTest    FAILED in 0.8s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/transform/metadata/MetadataModuleTest/test.log
//javatests/com/google/copybara:util/OutputDirFactoryTest                FAILED in 0.4s
  /private/var/tmp/_bazel_jeffryhesse/f5baa568c1bab50fda34d59d99a6c6eb/execroot/copybara/bazel-out/darwin_x86_64-fastbuild/testlogs/javatests/com/google/copybara/util/OutputDirFactoryTest/test.log

Executed 10 out of 53 tests: 43 tests pass and 10 fail locally.
```",1,hi trying set os run get something akin following master copy bara sky source mover version unknown version task cleaning working directory error unable guarantee security recursive delete common io unable guarantee security recursive delete bit murky resolve issue detective work aka found exception thrown os trouble finding list os purpose also curious working os since oracle support context may guava issue tell use impede use os well running get return value shutdown run exit complete shutdown starting fail git see private baa git test log time critical path integration reference doc test base folder folder git git git git git git git profiler testing testing transform transform transform transform transform transform console console console testing integration tool test private baa integration tool test test log private baa test log private baa test log git private baa git test log git private baa git test log git private baa git test log git private baa git test log git private baa git test log transform private baa transform test log private baa test log executed pass fail locally issue running os
node,fixed a bug cause crash,when view attach status change,1,view attach status bug cause crash
node,image resizes on another card when dismissing BigImageButtonsCard,"Hi.  I am having a problem with the BigImageButtonsProvider card.  I created a bunch of test cards, and have set them all to ""swipe to dismiss"".  When I dismiss a card that works ok, but the the image on another card gets re-sized to be about twice as large.  The card that gets messed up is usually the card below the one which was dismissed, also, sometimes more than one card has it's image resized. maybe every 4th card? 

In order to demonstrate the problem, I modified your demo program which was included in the downloaded source.
There are the main changes to the program:  

first, I always want to get a BigImageButtonsProvider card - so I modified the switch statement in getRandomCard(): 

```
 //    switch (position % 6) {
        switch (1) {
```

then modify the case statement for case 1 to be a little simpler (no Picasso) make the card dismissible:

```
           case 1: {
                final BigImageButtonsCardProvider provider = new Card.Builder(this)
                        .setTag(""BIG_IMAGE_CARD"")
                        .withProvider(BigImageButtonsCardProvider.class)
                        .setTitle(title)
                        .setDescription(description)
                        .setDrawable(R.drawable.dog);
                       /*********************************
                        .setDrawable(""https://assets-cdn.github.com/images/modules/logos_page/GitHub-Mark.png"");
                        .setOnPicassoImageLoadingListener(new TextCardProvider.OnPicassoImageLoadingListener() {
                            @Override
                            public void onImageLoading(@NonNull final RequestCreator requestCreator) {
                                requestCreator.rotate(position * 45.0f)
                                        .resize(200, 200)
                                        .centerCrop();
                            }
                        });
                       *************************/
                        Card cc = provider
                                .endConfig()
                                .build();
                    cc.setDismissible(true);
                    return cc;
            }

```

the problem seems to occur whether the Picasso Image loader is used or not.  Also, I prefer using the dog picture since it is available locally in the drawable directory, and that would be more like my use case. 

Have I set this up incorrectly?  Have I done something wrong?    

Thanks in advance! 

bob
",1,hi problem card bunch test set swipe dismiss dismiss card works image another card sized twice large card usually card one also sometimes one card image maybe every th card order demonstrate problem program included source main program first always want get card switch statement switch position switch modify case statement case little simpler make card dismissible case final provider new card builder big image card class title description drawable dog assets logos page mark new override public void final rotate position resize card provider build true return problem occur whether image loader used also prefer dog picture since available locally drawable directory would like use case set incorrectly done something wrong thanks advance bob image another card
node,"More methods, BugFixes",- More methods: Add the string resource option to TextViewAction; Open add,1,add string resource option open
node,MaterialListView is not compatible with ListView,"<b>Is there any easy way to make MaterialListView work with ListView?</b>

As far as I see if I want to work with the Cards and MaterialListView, I have to transform my BaseAdapter to RecyclerAdapter (implement new methods, change a little the old ViewHolder). Or am I wrong? 
@dexafree 
",1,easy way make work far see want work transform implement new change little old wrong compatible
node,Adding card not working ,"```
` MaterialListView mListView = (MaterialListView) findViewById(R.id.material_listview);
        //TODO: Delhi Daredevils
        Card delhi = new Card.Builder(this)
                .withProvider(new CardProvider())
                .setLayout(R.layout.material_image_with_buttons_card)
                .setTitle(""Delhi Daredevils"")
                .setDescription(""Lorem ipsum dolor sit amet"")
                .setDrawable(R.drawable.delhi)
                .addAction(R.id.left_text_button, new TextViewAction(this)
                        .setText(""Squad"")
                        .setTextResourceColor(R.color.accent)
                        .setListener(new OnActionClickListener() {
                            @Override
                            public void onActionClicked(View view, Card card) {


                            }
                        }))
                .addAction(R.id.right_text_button, new TextViewAction(this)
                        .setText(""Matches"")
                        .setTextResourceColor(R.color.accent)
                        .setListener(new OnActionClickListener() {
                            @Override
                            public void onActionClicked(View view, Card card) {
                                Toast.makeText(MainActivity.this, ""You have pressed the right button"", Toast.LENGTH_SHORT).show();
                            }
                        }))
                .endConfig()
                .build();
      mListView.add(delhi); //Giving error on this line : Cannot resolve method add(card)`
```
",1,id material card new card builder new layout material image buttons card dolor sit drawable id left text button new squad color accent new override public void view view card card id right text button new color accent new override public void view view card card toast right button toast length short show build add giving error line resolve method add card card working
node,unable to add a spinner in the card ?,i tried making changes in the cardprovider.java  but i was not successful in doing that ,1,tried making successful unable add spinner card
node,Loading copybara into another bazel WORKSPACE,"I'm trying to load Copybara into my internal Bazel WORKSPACE.
I added a `http_archive` statement to my `WORKSPACE` file:
```
http_archive(
    name = ""copybara"",
    url = ""https://github.com/google/copybara/archive/4f8904964283a405beb9612eb30a5ef693d3f4f3.zip"",
    type = ""zip"",
    sha256 = ""b5f321ebc4932ed9b5673b80ea88fcccfad93dce68c76c81ce306c1ebf2b6b34"",
    strip_prefix = ""copybara-4f8904964283a405beb9612eb30a5ef693d3f4f3""
)
```
and then trying to build copybara: `bazel build @copybara//java/com/google/copybara:copybara`. At which point I get an error:
```
ERROR: Analysis of target ‘@copybara//java/com/google/copybara:copybara’ failed; build aborted: no such package ‘@flogger//jar’: The repository could not be resolved
INFO: Elapsed time: 0.194s
INFO: 0 processes.
FAILED: Build did NOT complete successfully (0 packages loaded)
```

I know this is not the main use-case of Copybara, but by having copybara part of my repo (as in, defined and pinned in my WORKSPACE file), I will be able to more easily create `run` targets that use Copybara.",1,trying load internal added archive statement file archive name archive zip type zip sha ea ce strip prefix trying build build point get error error analysis target build aborted package flogger jar repository could resolved time build complete successfully loaded know main use case part defined pinned file able easily create run use loading another
node,Fixed globs breaking markdown.,"Just one place I just noticed, there might be more.",1,one place might fixed breaking markdown
node,Handle scanning of malformed QR codes,"When the app scans a QR code without a secret key, the app will crash. This is because we don't catch the `IllegalArgumentException` properly.

This should fix google/google-authenticator#677.",1,code without secret key crash catch properly fix authenticator handle scanning malformed
